,title,score,ratings,containsAds,price,free,realInstalls,released,inAppProductPrice,icon
0,Any.do - To do list & Calendar,4.407749,479171,False,0,True,29979463,"Nov 10, 2011",$0.99 - $99.99 per item,https://play-lh.googleusercontent.com/rmzeq_sIQ0Ajs1R0Dx1FhZevoTgnWfY_enZ1AOkBRdhAjnwFqekzw-o-B2rTRyO0XA
1,Todoist: to-do list & planner,4.409869,260011,False,0,True,39810417,"Nov 18, 2012",$0.99 - $48.00 per item,https://play-lh.googleusercontent.com/GK0SwEBVqlFBpRkPjY6y_1go6E6xZzAN0Ivzfgbuf28J4TTOoOsgWnqR4oJ_RhIhsg
2,TickTick:To Do List & Calendar,4.654034,125303,False,0,True,6889722,"Jun 19, 2013",$0.99 - $35.99 per item,https://play-lh.googleusercontent.com/JkYolPNuRAlrXEI9vlk-XOid3VFJ0IPjDj2eM_xrriuE3Zu8IX9cuMkI7JOTw1upNxbW
3,Habitica: Gamify Your Tasks,3.8856654,26220,True,0,True,4815467,"Dec 10, 2015",$0.99 - $47.99 per item,https://play-lh.googleusercontent.com/js9LcEDMPaWBLW-kX6zrCxVwKDKTsvQRgIubQnZB0wQs4NfNcxPkNlXQOpIDXKX0y5Y
4,Forest: Focus for Productivity,4.7093725,644743,True,0,True,34451009,"Aug 25, 2014",$0.99 - $18.99 per item,https://play-lh.googleusercontent.com/NWRVVF6zXvmcqspJwdFOKcQG6OlsNwpMOxED_DgB6B2BBDeWwAeWZKZxGhgqU0LQVJU
5,Habit Tracker,4.394231,81067,False,0,True,3629281,"Mar 5, 2014",$3.99 - $62.67 per item,https://play-lh.googleusercontent.com/7cwJD9wRKPu1xnSomH7UI0ICAXT_lJt7JAJa76Nut0oYH__b2XvjaUUpJHQhhx41roA
6,Do It Now: RPG To Do List,4.4040403,11255,True,0,True,968589,"Jan 19, 2016",$0.99 - $49.99 per item,https://play-lh.googleusercontent.com/qOT_vv9Ok0NYqV7Hh1KR68h77WkoI9Z4hRYkMJXXXl3Ld2qi7C2mNoLyturioh8gbjM
7,HabitNow Daily Routine Planner,4.771171,60551,False,0,True,4303624,"May 17, 2019",$0.99 - $11.99 per item,https://play-lh.googleusercontent.com/2U9sU5sKuKsHtNG5Z5x7c8hxMtf-jF4uDyGHtw5v5eRnmqtPn4q635DJi-MuQOEp52A
8,Microsoft To Do: Lists & Tasks,4.703724,337731,False,0,True,20820088,"Apr 19, 2017",,https://play-lh.googleusercontent.com/PH-2iORSfQs-iizoHzePXBaJCXml443pgoC14-lZESLFIp78A4SvxLKUVv1FyIQFtC8
9,Sectograph. Day & Time planner,4.5262322,88220,False,0,True,6126556,"Sep 1, 2013",$1.99 - $99.99 per item,https://play-lh.googleusercontent.com/cFHpQmu2ajaoC1460fSuqJMCbuy70fS8RT9Zi2jLMRsMDBkeAzQg5IQfcN1ZMeDihpA
10,TimeTune - Schedule Planner,4.5142856,90269,True,0,True,6550936,"Sep 30, 2014",$1.99 - $29.99 per item,https://play-lh.googleusercontent.com/L3qZUcWIbdU1zlg8TO2pT4s4lKrl7YIuikaaD1pAE82iqCIlP21CAnwB8385iXGdgSw
11,Artful Agenda - Plan in Style!,4.1933084,3287,False,0,True,390665,"Mar 27, 2019",$1.99 - $49.99 per item,https://play-lh.googleusercontent.com/7TDVINQa9OIoNDZXzIEWeogyey6qKJwp1P5Of2A6HE5iNCaTeIbq7LQQ-yoGJODUtA
12,Tasks: to do list & tasks,4.7641225,120409,False,0,True,5279295,"Nov 20, 2016",$0.99 - $59.00 per item,https://play-lh.googleusercontent.com/SMbBC8C9MXU4VgNVPSGBBWlxEtnR3maiJKryL1j2wp3zW5mK7yBnYg4cB4o-EMQh5sI
13,Business Calendar 2 Planner,4.656905,249796,True,0,True,10741141,"Dec 19, 2014",$1.49 - $8.99 per item,https://play-lh.googleusercontent.com/4Hmw2RFw7QT2F8vD2Qev7ndv1W4NKtN8UjJs7wjeo8TkA8jc1MsjmDMMk5vv4vWTuA
14,Planner Pro - Daily Calendar,4.264529,14532,True,0,True,3195588,"Jun 18, 2014",$2.99 - $94.99 per item,https://play-lh.googleusercontent.com/Hn436scq8RPVSGb7O5WEcesqGhQLoMHvnLG56rriuqcSZtunG-98pJGUcbfl34futMWH
